Race,ResidentStatus,Sex,Age
Other Asian or Pacific Islander in areas reporting codes 18-58,INTRASTATE NONRESIDENTS,Female,58.09756097560975
Other Asian or Pacific Islander in areas reporting codes 18-58,INTRASTATE NONRESIDENTS,Male,54.838235294117645
Other Asian or Pacific Islander in areas reporting codes 18-58,RESIDENTS,Female,67.1018276762402
Other Asian or Pacific Islander in areas reporting codes 18-58,RESIDENTS,Male,60.60164271047228
Samoan,FOREIGN RESIDENTS,Male,72.5
Samoan,INTERSTATE NONRESIDENTS,Female,52.0
Samoan,INTERSTATE NONRESIDENTS,Male,57.0
Samoan,INTRASTATE NONRESIDENTS,Female,33.5
Samoan,INTRASTATE NONRESIDENTS,Male,57.75
Samoan,RESIDENTS,Female,65.75806451612904
Samoan,RESIDENTS,Male,60.43119266055046
Vietnamese,INTERSTATE NONRESIDENTS,Female,59.833333333333336
Vietnamese,INTERSTATE NONRESIDENTS,Male,55.9
Vietnamese,INTRASTATE NONRESIDENTS,Female,71.55555555555556
Vietnamese,INTRASTATE NONRESIDENTS,Male,62.666666666666664
Vietnamese,RESIDENTS,Female,71.71604938271605
Vietnamese,RESIDENTS,Male,64.41176470588235
White,FOREIGN RESIDENTS,Female,72.46350364963503
White,FOREIGN RESIDENTS,Male,78.5560538116592
White,INTERSTATE NONRESIDENTS,Female,73.92069022731043
White,INTERSTATE NONRESIDENTS,Male,70.41694309772902
White,INTRASTATE NONRESIDENTS,Female,74.67556127096394
White,INTRASTATE NONRESIDENTS,Male,70.99997553816047
White,RESIDENTS,Female,78.72244574258191
White,RESIDENTS,Male,73.52965038697624
